Claim_ID,Food_ID,Receiver_ID,Status,Timestamp
1,175,32,Completed,2026-04-14 04:57:56
2,5,57,Completed,2026-03-09 10:32:56
3,53,53,Completed,2026-02-13 03:43:56
4,189,8,Completed,2026-01-18 19:08:56
5,84,62,Completed,2026-02-10 11:21:56
6,118,69,Cancelled,2026-03-06 06:19:56
7,185,34,Pending,2026-01-30 08:29:56
8,72,72,Cancelled,2026-03-11 16:22:56
9,181,27,Pending,2026-01-20 01:10:56
10,90,72,Completed,2026-03-14 14:34:56
11,140,49,Completed,2026-02-27 11:52:56
12,75,6,Pending,2026-03-13 01:36:56
13,114,33,Completed,2026-02-16 17:29:56
14,70,72,Pending,2026-01-19 15:33:56
15,190,76,Completed,2026-03-19 16:38:56
16,136,29,Pending,2026-01-27 16:38:56
17,85,61,Completed,2026-04-06 01:52:56
18,141,21,Completed,2026-02-25 02:42:56
19,122,62,Cancelled,2026-01-25 16:53:56
20,83,37,Cancelled,2026-01-26 21:43:56
21,167,74,Pending,2026-03-20 05:54:56
22,10,23,Pending,2026-02-24 17:42:56
23,102,64,Cancelled,2026-03-25 23:46:56
24,10,2,Cancelled,2026-03-11 05:03:56
25,86,37,Completed,2026-02-19 03:07:56
26,35,65,Completed,2026-02-18 15:29:56
27,85,21,Pending,2026-02-19 03:25:56
28,4,44,Pending,2026-03-12 04:58:56
29,45,79,Pending,2026-01-27 10:49:56
30,84,12,Completed,2026-02-26 02:35:56
31,36,62,Completed,2026-03-08 16:41:56
32,61,58,Completed,2026-03-15 13:22:56
33,147,2,Completed,2026-03-16 03:18:56
34,16,16,Pending,2026-02-18 14:31:56
35,129,40,Completed,2026-01-20 20:01:56
36,76,48,Cancelled,2026-01-30 16:27:56
37,123,20,Cancelled,2026-02-19 00:03:56
38,180,71,Completed,2026-02-17 05:50:56
39,56,32,Pending,2026-01-21 03:46:56
40,135,58,Pending,2026-02-10 01:18:56
41,145,15,Completed,2026-04-11 05:44:56
42,147,69,Completed,2026-03-30 18:21:56
43,114,15,Cancelled,2026-01-21 16:56:56
44,24,66,Completed,2026-02-20 22:12:56
45,107,59,Completed,2026-02-05 22:06:56
46,79,3,Completed,2026-02-27 14:49:56
47,56,75,Completed,2026-04-09 22:14:56
48,17,70,Completed,2026-04-11 20:42:56
49,74,53,Completed,2026-03-26 18:52:56
50,187,54,Pending,2026-03-02 11:13:56
51,97,49,Cancelled,2026-04-08 01:59:56
52,35,45,Cancelled,2026-04-03 18:07:56
53,33,29,Completed,2026-04-18 23:22:56
54,185,70,Completed,2026-02-23 06:17:56
55,64,59,Pending,2026-03-05 19:24:56
56,186,15,Completed,2026-04-14 02:15:56
57,5,31,Pending,2026-03-23 21:35:56
58,115,77,Completed,2026-01-22 00:46:56
59,190,6,Completed,2026-02-26 09:27:56
60,194,8,Completed,2026-04-01 07:23:56
61,188,74,Completed,2026-03-09 05:03:56
62,83,31,Pending,2026-03-11 18:59:56
63,106,39,Completed,2026-03-14 22:06:56
64,189,23,Cancelled,2026-01-28 02:14:56
65,13,45,Completed,2026-01-26 02:17:56
66,82,54,Pending,2026-02-25 19:22:56
67,194,69,Completed,2026-02-17 15:47:56
68,182,19,Completed,2026-02-18 22:06:56
69,107,72,Completed,2026-02-10 19:17:56
70,53,43,Completed,2026-01-26 20:42:56
71,95,12,Completed,2026-02-08 23:48:56
72,69,49,Completed,2026-01-22 04:03:56
73,19,25,Completed,2026-02-01 23:59:56
74,123,27,Completed,2026-03-07 13:43:56
75,49,16,Completed,2026-02-16 15:57:56
76,53,51,Pending,2026-03-19 06:21:56
77,98,60,Pending,2026-02-09 03:19:56
78,93,66,Completed,2026-02-14 09:35:56
79,185,61,Pending,2026-03-09 17:18:56
80,12,73,Completed,2026-03-21 00:32:56
81,142,75,Completed,2026-02-03 00:15:56
82,51,43,Completed,2026-03-20 11:05:56
83,128,71,Pending,2026-01-25 02:20:56
84,126,63,Completed,2026-02-19 17:55:56
85,44,18,Pending,2026-02-08 08:30:56
86,139,8,Cancelled,2026-02-10 21:48:56
87,172,7,Pending,2026-04-18 10:33:56
88,60,9,Pending,2026-01-18 19:41:56
89,117,48,Completed,2026-04-11 04:01:56
90,158,62,Pending,2026-01-24 08:40:56
91,142,53,Completed,2026-04-17 23:08:56
92,138,37,Pending,2026-04-16 06:49:56
93,111,23,Pending,2026-04-05 20:08:56
94,50,80,Completed,2026-02-10 14:49:56
95,102,11,Completed,2026-03-02 11:12:56
96,179,29,Completed,2026-03-11 01:49:56
97,168,5,Pending,2026-04-07 11:17:56
98,122,8,Completed,2026-01-27 22:57:56
99,128,56,Completed,2026-01-26 13:05:56
100,25,68,Cancelled,2026-04-13 16:28:56
101,178,73,Cancelled,2026-02-17 15:39:56
102,176,36,Cancelled,2026-02-08 04:59:56
103,81,3,Completed,2026-03-23 05:32:56
104,183,51,Pending,2026-04-09 14:31:56
105,146,50,Completed,2026-01-22 06:20:56
106,190,18,Completed,2026-01-20 00:36:56
107,89,7,Completed,2026-04-06 10:27:56
108,88,78,Pending,2026-01-30 04:16:56
109,84,4,Cancelled,2026-01-27 14:51:56
110,126,30,Cancelled,2026-03-04 06:17:56
111,175,75,Completed,2026-01-24 11:36:56
112,76,32,Pending,2026-04-09 21:24:56
113,183,20,Completed,2026-02-28 13:18:56
114,2,40,Completed,2026-02-21 11:53:56
115,34,12,Completed,2026-03-26 10:13:56
116,132,53,Completed,2026-04-05 23:36:56
117,24,77,Completed,2026-02-01 12:46:56
118,75,53,Completed,2026-02-28 20:55:56
119,63,74,Cancelled,2026-02-11 17:58:56
120,36,35,Completed,2026-03-11 15:10:56
121,43,56,Completed,2026-03-14 10:22:56
122,20,47,Completed,2026-03-17 15:55:56
123,153,79,Pending,2026-03-24 09:35:56
124,2,51,Completed,2026-03-07 04:17:56
125,85,57,Pending,2026-03-07 09:49:56
126,167,77,Pending,2026-04-01 14:21:56
127,178,26,Pending,2026-02-16 13:30:56
128,82,38,Cancelled,2026-01-20 03:10:56
129,63,42,Cancelled,2026-03-01 14:49:56
130,94,15,Pending,2026-02-05 17:04:56
131,47,71,Cancelled,2026-04-15 00:12:56
132,54,57,Cancelled,2026-03-12 01:37:56
133,105,64,Pending,2026-04-01 03:22:56
134,169,20,Completed,2026-02-23 11:37:56
135,154,62,Completed,2026-02-03 11:07:56
136,178,54,Completed,2026-02-08 21:51:56
137,180,69,Cancelled,2026-02-01 02:43:56
138,197,32,Completed,2026-01-24 02:19:56
139,157,6,Completed,2026-02-05 02:58:56
140,193,43,Pending,2026-02-22 20:41:56
141,57,66,Completed,2026-02-11 06:04:56
142,57,58,Pending,2026-03-02 11:12:56
143,151,65,Pending,2026-03-30 12:40:56
144,76,54,Completed,2026-04-08 19:48:56
145,37,45,Cancelled,2026-03-10 13:12:56
146,134,62,Pending,2026-03-05 08:35:56
147,179,58,Completed,2026-03-09 21:22:56
148,182,15,Completed,2026-04-16 13:00:56
149,43,32,Completed,2026-02-11 18:06:56
150,144,55,Completed,2026-02-18 15:50:56
151,48,24,Completed,2026-01-27 02:14:56
152,189,79,Completed,2026-03-24 09:04:56
153,2,28,Completed,2026-03-23 14:53:56
154,17,74,Pending,2026-04-05 06:30:56
155,51,59,Completed,2026-04-04 14:59:56
156,136,41,Cancelled,2026-02-01 11:02:56
157,30,45,Completed,2026-03-04 09:02:56
158,173,39,Completed,2026-01-30 05:36:56
159,81,16,Pending,2026-03-19 14:34:56
160,178,19,Completed,2026-02-12 11:15:56
161,148,50,Completed,2026-02-23 18:10:56
162,178,23,Pending,2026-02-06 18:10:56
163,48,41,Completed,2026-02-20 04:38:56
164,3,63,Cancelled,2026-04-01 16:49:56
165,144,65,Completed,2026-01-25 08:15:56
166,107,57,Pending,2026-02-15 18:36:56
167,195,29,Completed,2026-03-12 22:24:56
168,74,22,Completed,2026-02-19 04:54:56
169,127,71,Pending,2026-02-12 20:05:56
170,199,70,Completed,2026-03-03 05:49:56
171,195,57,Pending,2026-02-08 17:14:56
172,168,32,Completed,2026-03-11 22:13:56
173,23,57,Completed,2026-04-03 16:28:56
174,151,45,Pending,2026-01-18 04:01:56
175,158,18,Completed,2026-03-23 16:50:56
176,90,69,Completed,2026-03-14 04:07:56
177,181,38,Completed,2026-03-12 05:24:56
178,132,13,Cancelled,2026-04-01 09:43:56
179,71,17,Completed,2026-01-19 19:26:56
180,83,32,Completed,2026-01-22 11:10:56
181,162,35,Completed,2026-01-28 10:17:56
182,163,12,Completed,2026-02-26 06:54:56
183,95,59,Completed,2026-02-15 13:04:56
184,199,12,Completed,2026-02-19 02:59:56
185,17,69,Pending,2026-02-27 17:14:56
186,127,35,Pending,2026-03-08 14:20:56
187,34,73,Completed,2026-02-15 12:44:56
188,13,6,Pending,2026-04-06 02:51:56
189,5,16,Pending,2026-03-29 09:12:56
190,110,26,Completed,2026-01-20 18:45:56
191,41,36,Pending,2026-04-07 03:18:56
192,96,22,Completed,2026-04-12 11:01:56
193,180,30,Completed,2026-02-23 03:36:56
194,1,28,Pending,2026-02-16 21:33:56
195,133,57,Completed,2026-04-17 22:57:56
196,31,55,Completed,2026-01-20 19:11:56
197,99,12,Completed,2026-04-05 20:21:56
198,77,18,Completed,2026-03-01 19:00:56
199,37,9,Cancelled,2026-02-10 05:41:56
200,43,57,Pending,2026-03-05 00:28:56
201,39,53,Pending,2026-01-30 02:13:56
202,23,13,Cancelled,2026-04-01 20:04:56
203,90,55,Pending,2026-03-09 19:26:56
204,22,32,Completed,2026-02-07 04:03:56
205,73,4,Pending,2026-01-24 14:28:56
206,131,25,Completed,2026-02-27 14:00:56
207,62,64,Completed,2026-02-28 20:26:56
208,153,10,Completed,2026-02-10 23:18:56
209,34,50,Cancelled,2026-02-05 10:18:56
210,45,61,Completed,2026-04-09 23:04:56
211,68,28,Completed,2026-04-13 21:51:56
212,74,65,Completed,2026-02-24 09:57:56
213,164,69,Completed,2026-02-09 04:32:56
214,80,11,Completed,2026-02-12 16:50:56
215,84,51,Completed,2026-02-02 02:53:56
216,175,9,Pending,2026-03-10 01:14:56
217,62,8,Pending,2026-03-18 20:42:56
218,117,79,Completed,2026-01-31 22:22:56
219,169,23,Pending,2026-04-03 22:56:56
220,3,21,Completed,2026-02-14 12:08:56
221,185,34,Completed,2026-03-28 12:33:56
222,69,16,Pending,2026-04-15 12:50:56
223,135,9,Completed,2026-03-16 01:05:56
224,128,59,Pending,2026-02-12 12:38:56
225,146,22,Completed,2026-03-02 18:25:56
226,147,15,Pending,2026-03-20 00:09:56
227,4,32,Completed,2026-04-13 08:18:56
228,39,23,Completed,2026-04-14 05:50:56
229,190,54,Cancelled,2026-03-21 13:26:56
230,185,41,Completed,2026-03-15 21:05:56
231,129,7,Completed,2026-03-27 15:50:56
232,12,52,Completed,2026-04-10 08:46:56
233,80,42,Completed,2026-04-07 06:12:56
234,52,38,Completed,2026-02-05 13:54:56
235,119,48,Pending,2026-02-02 07:52:56
236,188,70,Pending,2026-03-18 19:41:56
237,7,30,Cancelled,2026-02-08 12:01:56
238,3,43,Pending,2026-04-18 02:17:56
239,187,40,Pending,2026-04-05 17:08:56
240,108,63,Cancelled,2026-04-11 18:56:56
241,12,30,Completed,2026-02-11 09:57:56
242,118,11,Cancelled,2026-02-03 20:09:56
243,101,10,Completed,2026-02-02 05:38:56
244,34,31,Completed,2026-03-12 14:47:56
245,101,42,Completed,2026-03-09 09:24:56
246,52,18,Completed,2026-02-03 20:32:56
247,116,60,Completed,2026-03-09 10:34:56
248,198,27,Completed,2026-02-20 14:12:56
249,31,12,Completed,2026-03-29 02:22:56
250,179,78,Pending,2026-04-13 16:48:56
251,38,12,Cancelled,2026-03-18 12:16:56
252,174,39,Completed,2026-03-16 18:40:56
253,116,72,Cancelled,2026-02-07 16:35:56
254,36,16,Completed,2026-04-17 21:48:56
255,57,17,Pending,2026-03-24 11:18:56
256,166,11,Pending,2026-02-03 05:25:56
257,20,3,Cancelled,2026-04-10 16:44:56
258,33,12,Pending,2026-03-07 20:39:56
259,13,22,Cancelled,2026-02-04 09:49:56
260,128,4,Pending,2026-03-01 02:14:56
261,55,24,Completed,2026-03-14 15:13:56
262,9,79,Cancelled,2026-01-29 04:26:56
263,128,53,Pending,2026-02-07 08:38:56
264,99,18,Completed,2026-02-24 17:00:56
265,135,32,Cancelled,2026-01-28 05:51:56
266,98,46,Completed,2026-02-16 05:51:56
267,145,65,Completed,2026-03-08 11:24:56
268,82,77,Completed,2026-03-21 22:44:56
269,72,8,Pending,2026-02-17 07:19:56
270,60,21,Pending,2026-04-06 15:59:56
271,137,8,Completed,2026-03-21 04:47:56
272,100,46,Cancelled,2026-03-27 18:26:56
273,189,46,Completed,2026-02-02 22:56:56
274,146,73,Pending,2026-03-31 05:29:56
275,127,70,Pending,2026-03-10 18:10:56
276,15,30,Completed,2026-01-31 16:40:56
277,1,43,Completed,2026-01-30 16:50:56
278,184,23,Completed,2026-03-08 22:40:56
279,181,19,Completed,2026-04-04 06:46:56
280,19,48,Completed,2026-01-18 02:16:56
281,87,39,Completed,2026-03-08 19:31:56
282,112,63,Pending,2026-01-25 13:30:56
283,144,79,Pending,2026-03-04 15:59:56
284,45,49,Completed,2026-03-09 23:57:56
285,46,1,Completed,2026-01-19 05:16:56
286,198,73,Cancelled,2026-04-14 18:03:56
287,157,29,Completed,2026-01-27 05:35:56
288,37,43,Cancelled,2026-04-09 16:19:56
289,43,12,Cancelled,2026-01-18 02:01:56
290,86,58,Pending,2026-04-17 15:28:56
291,18,45,Completed,2026-03-17 19:55:56
292,99,57,Completed,2026-02-24 17:45:56
293,97,45,Completed,2026-02-08 11:35:56
294,148,29,Pending,2026-03-29 09:37:56
295,9,38,Pending,2026-04-16 13:25:56
296,19,44,Cancelled,2026-03-28 11:31:56
297,141,12,Pending,2026-03-06 04:02:56
298,181,4,Cancelled,2026-02-22 03:31:56
299,112,21,Pending,2026-04-12 20:20:56
300,49,53,Completed,2026-01-19 05:55:56
